emp_no,last_name,title,dept_name
10001,Facello,Senior Engineer,Development
10004,Koblick,Senior Engineer,Production
10005,Maliniak,Senior Staff,Human Resources
10006,Preusig,Senior Engineer,Development
10009,Peac,Senior Engineer,Quality Management
10011,Sluis,Staff,Customer Service
10018,Peha,Senior Engineer,Development
10019,Haddadi,Staff,Research
10020,Warwick,Engineer,Production
10022,Famili,Engineer,Development
10023,Montemayor,Engineer,Development
10026,Berztiss,Senior Engineer,Production
10035,Chappelet,Senior Engineer,Production
10047,Nyanchama,Senior Engineer,Production
10051,Caine,Senior Engineer,Production
10053,Zschoche,Senior Staff,Sales
10057,Callaway,Senior Engineer,Development
10058,McFarlin,Senior Staff,Marketing
10059,McAlpine,Senior Staff,Finance
10063,Leonhardt,Senior Engineer,Production
10066,Schusler,Senior Engineer,Development
10067,Stavenow,Senior Engineer,Quality Management
10070,Garigliano,Technique Leader,Development
10072,Sidou,Senior Engineer,Development
10073,McClurg,Engineer,Quality Management
10074,Bernatsky,Technique Leader,Development
10076,Ritzmann,Senior Engineer,Development
10088,Syrzycki,Senior Staff,Customer Service
10091,Gomatam,Senior Engineer,Development
10096,Mandell,Engineer,Production
10097,Waschkowski,Senior Staff,Research
10100,Haraldson,Senior Staff,Human Resources
10101,Heyers,Staff,Sales
10103,Birch,Engineer,Development
10106,Aingworth,Senior Engineer,Production
10108,Giveon,Staff,Marketing
10116,Czap,Senior Engineer,Research
10126,Valtorta,Senior Staff,Customer Service
10127,Baja,Senior Engineer,Development
10129,Peir,Technique Leader,Development
10130,Casperson,Senior Engineer,Production
10131,Eldridge,Engineer,Production
10134,Siprelle,Senior Engineer,Development
10138,Shimshoni,Senior Engineer,Quality Management
10149,Perry,Staff,Sales
10150,Perng,Senior Engineer,Development
10152,Munro,Engineer,Quality Management
10153,Majewski,Assistant Engineer,Development
10157,Aloisi,Senior Engineer,Development
10159,Buescher,Senior Engineer,Quality Management
10160,Khasidashvili,Senior Staff,Sales
10161,Mellouli,Engineer,Production
10163,Szmurlo,Senior Staff,Human Resources
10166,Siegrist,Engineer,Development
10177,Iisaka,Staff,Finance
10183,Bonifati,Staff,Customer Service
